Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2012,51. Health professions and related programs,2,"$38,900"," 2,300 "
Certificate,2013,51. Health professions and related programs,2,"$37,900"," 1,990 "
Certificate,2005,"52. Business, management, marketing and related support services",2,"$39,800", 550 
Certificate,2006,"52. Business, management, marketing and related support services",2,"$39,800", 570 
Certificate,2007,"52. Business, management, marketing and related support services",2,"$38,100", 560 
Certificate,2008,"52. Business, management, marketing and related support services",2,"$36,700", 470 
Certificate,2009,"52. Business, management, marketing and related support services",2,"$35,400", 420 
Certificate,2010,"52. Business, management, marketing and related support services",2,"$38,800", 420 
Certificate,2011,"52. Business, management, marketing and related support services",2,"$41,400", 530 
Certificate,2012,"52. Business, management, marketing and related support services",2,"$40,400", 650 
Certificate,2013,"52. Business, management, marketing and related support services",2,"$38,000", 580 
Certificate,2005,54. History,2,"$42,400", 40 
Certificate,2006,54. History,2,"$40,600", 50 
Certificate,2007,54. History,2,n/a, n/a 
Certificate,2008,54. History,2,"$47,500", 20 
Certificate,2009,54. History,2,n/a, n/a 
Certificate,2010,54. History,2,n/a, n/a 
Certificate,2011,54. History,2,n/a, n/a 
Certificate,2012,54. History,2,n/a, n/a 
Certificate,2013,54. History,2,n/a, n/a 
Diploma ,2005,00. Total (All Graduates),2,"$46,300"," 4,420 "
Diploma ,2006,00. Total (All Graduates),2,"$47,700"," 4,530 "
Diploma ,2007,00. Total (All Graduates),2,"$46,700"," 4,650 "
Diploma ,2008,00. Total (All Graduates),2,"$46,600"," 4,810 "
Diploma ,2009,00. Total (All Graduates),2,"$46,100"," 4,770 "
Diploma ,2010,00. Total (All Graduates),2,"$47,600"," 4,930 "
Diploma ,2011,00. Total (All Graduates),2,"$48,000"," 5,200 "
Diploma ,2012,00. Total (All Graduates),2,"$48,100"," 5,390 "
Diploma ,2013,00. Total (All Graduates),2,"$46,300"," 5,310 "
Diploma ,2005,"01. Agriculture, agriculture operations and related sciences",2,"$37,500", 120 
Diploma ,2006,"01. Agriculture, agriculture operations and related sciences",2,"$38,700", 110 
Diploma ,2007,"01. Agriculture, agriculture operations and related sciences",2,"$39,100", 100 
Diploma ,2008,"01. Agriculture, agriculture operations and related sciences",2,"$34,700", 90 
Diploma ,2009,"01. Agriculture, agriculture operations and related sciences",2,"$36,400", 70 
Diploma ,2010,"01. Agriculture, agriculture operations and related sciences",2,"$38,700", 100 
Diploma ,2011,"01. Agriculture, agriculture operations and related sciences",2,"$41,900", 80 
Diploma ,2012,"01. Agriculture, agriculture operations and related sciences",2,"$40,000", 90 
Diploma ,2013,"01. Agriculture, agriculture operations and related sciences",2,"$44,800", 100 
Diploma ,2005,03. Natural resources and conservation,2,"$43,000", 100 
Diploma ,2006,03. Natural resources and conservation,2,"$53,800", 100 
Diploma ,2007,03. Natural resources and conservation,2,"$45,100", 90 
Diploma ,2008,03. Natural resources and conservation,2,"$44,700", 100 
Diploma ,2009,03. Natural resources and conservation,2,"$47,100", 100 
Diploma ,2010,03. Natural resources and conservation,2,"$51,900", 100 
Diploma ,2011,03. Natural resources and conservation,2,"$55,900", 90 
Diploma ,2012,03. Natural resources and conservation,2,"$50,500", 130 
Diploma ,2013,03. Natural resources and conservation,2,"$44,000", 100 
Diploma ,2005,04. Architecture and related services,2,"$49,100", 80 
Diploma ,2006,04. Architecture and related services,2,"$49,200", 100 
Diploma ,2007,04. Architecture and related services,2,"$47,400", 100 
Diploma ,2008,04. Architecture and related services,2,"$44,600", 110 
Diploma ,2009,04. Architecture and related services,2,"$46,000", 90 
Diploma ,2010,04. Architecture and related services,2,"$47,600", 130 
Diploma ,2011,04. Architecture and related services,2,"$50,300", 120 
Diploma ,2012,04. Architecture and related services,2,"$49,000", 130 
Diploma ,2013,04. Architecture and related services,2,"$49,200", 150 
Diploma ,2005,"09. Communication, journalism and related programs",2,"$38,100", 150 
Diploma ,2006,"09. Communication, journalism and related programs",2,"$40,500", 180 
Diploma ,2007,"09. Communication, journalism and related programs",2,"$41,200", 130 
Diploma ,2008,"09. Communication, journalism and related programs",2,"$34,500", 110 
Diploma ,2009,"09. Communication, journalism and related programs",2,"$35,100", 130 
Diploma ,2010,"09. Communication, journalism and related programs",2,"$38,000", 130 
Diploma ,2011,"09. Communication, journalism and related programs",2,"$44,300", 190 
Diploma ,2012,"09. Communication, journalism and related programs",2,"$38,900", 220 
Diploma ,2013,"09. Communication, journalism and related programs",2,"$40,400", 200 
Diploma ,2005,10. Communications technologies/technicians and support services,2,"$36,900", 90 
Diploma ,2006,10. Communications technologies/technicians and support services,2,"$40,000", 80 
Diploma ,2007,10. Communications technologies/technicians and support services,2,"$37,000", 110 
Diploma ,2008,10. Communications technologies/technicians and support services,2,"$38,500", 110 
Diploma ,2009,10. Communications technologies/technicians and support services,2,"$37,900", 100 
Diploma ,2010,10. Communications technologies/technicians and support services,2,"$36,700", 120 
Diploma ,2011,10. Communications technologies/technicians and support services,2,"$40,300", 80 
Diploma ,2012,10. Communications technologies/technicians and support services,2,"$35,800", 70 
Diploma ,2013,10. Communications technologies/technicians and support services,2,"$33,400", 80 
Diploma ,2005,11. Computer and information sciences and support services,2,"$58,400", 70 
Diploma ,2006,11. Computer and information sciences and support services,2,"$49,400", 70 
Diploma ,2007,11. Computer and information sciences and support services,2,"$47,800", 50 
Diploma ,2008,11. Computer and information sciences and support services,2,"$42,500", 50 
Diploma ,2009,11. Computer and information sciences and support services,2,"$46,400", 40 
Diploma ,2010,11. Computer and information sciences and support services,2,"$52,500", 60 
Diploma ,2011,11. Computer and information sciences and support services,2,"$50,600", 70 
Diploma ,2012,11. Computer and information sciences and support services,2,"$55,000", 80 
Diploma ,2013,11. Computer and information sciences and support services,2,"$47,400", 80 
Diploma ,2005,12. Personal and culinary services,2,"$30,500", 50 
Diploma ,2006,12. Personal and culinary services,2,"$31,300", 60 
Diploma ,2007,12. Personal and culinary services,2,"$29,000", 70 
Diploma ,2008,12. Personal and culinary services,2,"$31,200", 60 
Diploma ,2009,12. Personal and culinary services,2,"$31,500", 60 
Diploma ,2010,12. Personal and culinary services,2,"$32,800", 70 
Diploma ,2011,12. Personal and culinary services,2,"$30,600", 70 
Diploma ,2012,12. Personal and culinary services,2,"$31,500", 130 
Diploma ,2013,12. Personal and culinary services,2,"$30,500", 120 
Diploma ,2005,15. Engineering technologies and engineering-related fields,2,"$59,200", 830 
Diploma ,2006,15. Engineering technologies and engineering-related fields,2,"$62,800", 760 
Diploma ,2007,15. Engineering technologies and engineering-related fields,2,"$60,700", 760 
Diploma ,2008,15. Engineering technologies and engineering-related fields,2,"$59,000", 850 
Diploma ,2009,15. Engineering technologies and engineering-related fields,2,"$58,900", 780 
Diploma ,2010,15. Engineering technologies and engineering-related fields,2,"$62,300", 790 
Diploma ,2011,15. Engineering technologies and engineering-related fields,2,"$65,900", 830 
Diploma ,2012,15. Engineering technologies and engineering-related fields,2,"$69,500", 900 
Diploma ,2013,15. Engineering technologies and engineering-related fields,2,"$63,100", 850 
Diploma ,2005,19. Family and consumer sciences/human sciences,2,"$28,200", 90 
Diploma ,2006,19. Family and consumer sciences/human sciences,2,"$35,100", 90 
Diploma ,2007,19. Family and consumer sciences/human sciences,2,"$35,900", 100 
Diploma ,2008,19. Family and consumer sciences/human sciences,2,"$35,000", 120 
Diploma ,2009,19. Family and consumer sciences/human sciences,2,"$37,900", 130 
Diploma ,2010,19. Family and consumer sciences/human sciences,2,"$35,900", 120 
Diploma ,2011,19. Family and consumer sciences/human sciences,2,"$33,900", 190 
Diploma ,2012,19. Family and consumer sciences/human sciences,2,"$36,100", 130 
Diploma ,2013,19. Family and consumer sciences/human sciences,2,"$36,900", 140 
Diploma ,2005,22. Legal professions and studies,2,"$40,600", 100 
Diploma ,2006,22. Legal professions and studies,2,"$43,100", 100 
Diploma ,2007,22. Legal professions and studies,2,"$43,300", 120 
Diploma ,2008,22. Legal professions and studies,2,"$44,100", 130 
Diploma ,2009,22. Legal professions and studies,2,"$42,500", 100 
Diploma ,2010,22. Legal professions and studies,2,"$43,400", 110 
Diploma ,2011,22. Legal professions and studies,2,"$39,900", 120 
Diploma ,2012,22. Legal professions and studies,2,"$42,800", 110 
Diploma ,2013,22. Legal professions and studies,2,"$42,600", 150 
Diploma ,2005,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2006,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2007,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2008,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2009,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2010,"24. Liberal arts and sciences, general studies and humanities",2,"$23,400", 20 
Diploma ,2011,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2012,"24. Liberal arts and sciences, general studies and humanities",2,"$29,500", 20 
Diploma ,2013,"24. Liberal arts and sciences, general studies and humanities",2,n/a, n/a 
Diploma ,2005,25. Library science,2,"$32,600", 30 
Diploma ,2006,25. Library science,2,"$35,500", 30 
Diploma ,2007,25. Library science,2,"$39,300", 40 
Diploma ,2008,25. Library science,2,"$32,800", 50 
Diploma ,2009,25. Library science,2,"$36,900", 30 
Diploma ,2010,25. Library science,2,"$41,400", 40 
Diploma ,2011,25. Library science,2,"$33,900", 40 
Diploma ,2012,25. Library science,2,"$36,600", 30 
Diploma ,2013,25. Library science,2,"$27,100", 40 
Diploma ,2005,"31. Parks, recreation, leisure and fitness studies",2,"$36,200", 50 
Diploma ,2006,"31. Parks, recreation, leisure and fitness studies",2,"$38,500", 50 
Diploma ,2007,"31. Parks, recreation, leisure and fitness studies",2,"$39,700", 40 
Diploma ,2008,"31. Parks, recreation, leisure and fitness studies",2,"$34,000", 50 
Diploma ,2009,"31. Parks, recreation, leisure and fitness studies",2,"$33,400", 50 
Diploma ,2010,"31. Parks, recreation, leisure and fitness studies",2,"$31,600", 50 
Diploma ,2011,"31. Parks, recreation, leisure and fitness studies",2,"$36,600", 50 
Diploma ,2012,"31. Parks, recreation, leisure and fitness studies",2,"$36,200", 50 
Diploma ,2013,"31. Parks, recreation, leisure and fitness studies",2,"$34,800", 50 
Diploma ,2005,41. Science technologies/technicians,2,"$47,700", 60 
Diploma ,2006,41. Science technologies/technicians,2,"$47,100", 40 
Diploma ,2007,41. Science technologies/technicians,2,"$49,700", 60 
Diploma ,2008,41. Science technologies/technicians,2,"$48,000", 50 
Diploma ,2009,41. Science technologies/technicians,2,"$47,200", 70 
Diploma ,2010,41. Science technologies/technicians,2,"$48,900", 50 
Diploma ,2011,41. Science technologies/technicians,2,"$52,500", 50 
Diploma ,2012,41. Science technologies/technicians,2,"$50,600", 40 
Diploma ,2013,41. Science technologies/technicians,2,"$45,000", 40 
Diploma ,2005,43. Security and protective services,2,"$50,200", 170 
Diploma ,2006,43. Security and protective services,2,"$52,200", 220 
Diploma ,2007,43. Security and protective services,2,"$54,500", 180 
Diploma ,2008,43. Security and protective services,2,"$59,500", 170 
Diploma ,2009,43. Security and protective services,2,"$48,200", 170 
Diploma ,2010,43. Security and protective services,2,"$51,000", 170 
Diploma ,2011,43. Security and protective services,2,"$52,900", 170 
Diploma ,2012,43. Security and protective services,2,"$53,700", 220 
Diploma ,2013,43. Security and protective services,2,"$49,200", 240 
Diploma ,2005,44. Public administration and social service professions,2,"$34,500", 170 
Diploma ,2006,44. Public administration and social service professions,2,"$41,500", 180 
Diploma ,2007,44. Public administration and social service professions,2,"$36,700", 190 
Diploma ,2008,44. Public administration and social service professions,2,"$38,700", 160 
Diploma ,2009,44. Public administration and social service professions,2,"$39,100", 120 
Diploma ,2010,44. Public administration and social service professions,2,"$42,800", 140 
Diploma ,2011,44. Public administration and social service professions,2,"$39,300", 180 
Diploma ,2012,44. Public administration and social service professions,2,"$38,900", 180 
Diploma ,2013,44. Public administration and social service professions,2,"$38,300", 180 
Diploma ,2005,47. Mechanic and repair technologies/technicians,2,"$50,000", 50 
Diploma ,2006,47. Mechanic and repair technologies/technicians,2,"$71,100", 140 
