Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Diploma ,2012,47. Mechanic and repair technologies/technicians,1,"$64,200", 130 
Diploma ,2013,47. Mechanic and repair technologies/technicians,1,"$56,800", 200 
Diploma ,2014,47. Mechanic and repair technologies/technicians,1,"$74,600", 270 
Diploma ,2005,48. Precision production,1,"$92,300", 70 
Diploma ,2006,48. Precision production,1,n/a,n/a
Diploma ,2007,48. Precision production,1,n/a,n/a
Diploma ,2008,48. Precision production,1,n/a,n/a
Diploma ,2009,48. Precision production,1,"$66,200", 40 
Diploma ,2010,48. Precision production,1,"$93,000", 40 
Diploma ,2011,48. Precision production,1,"$89,700", 60 
Diploma ,2012,48. Precision production,1,"$132,400", 50 
Diploma ,2013,48. Precision production,1,"$135,200", 60 
Diploma ,2014,48. Precision production,1,"$105,800", 60 
