Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Diploma ,2005,"31. Parks, recreation, leisure and fitness studies",5,"$42,500", 40 
Diploma ,2006,"31. Parks, recreation, leisure and fitness studies",5,"$43,300", 40 
Diploma ,2007,"31. Parks, recreation, leisure and fitness studies",5,"$41,000", 40 
Diploma ,2008,"31. Parks, recreation, leisure and fitness studies",5,"$40,600", 30 
Diploma ,2009,"31. Parks, recreation, leisure and fitness studies",5,"$40,000", 40 
Diploma ,2010,"31. Parks, recreation, leisure and fitness studies",5,"$43,800", 40 
Diploma ,2005,41. Science technologies/technicians,5,"$52,800", 50 
Diploma ,2006,41. Science technologies/technicians,5,"$59,100", 50 
Diploma ,2007,41. Science technologies/technicians,5,"$57,600", 60 
Diploma ,2008,41. Science technologies/technicians,5,"$59,500", 50 
Diploma ,2009,41. Science technologies/technicians,5,"$55,200", 50 
Diploma ,2010,41. Science technologies/technicians,5,"$56,900", 50 
Diploma ,2005,43. Security and protective services,5,"$65,200", 150 
Diploma ,2006,43. Security and protective services,5,"$66,500", 190 
Diploma ,2007,43. Security and protective services,5,"$70,500", 160 
Diploma ,2008,43. Security and protective services,5,"$70,100", 150 
Diploma ,2009,43. Security and protective services,5,"$66,300", 150 
Diploma ,2010,43. Security and protective services,5,"$72,100", 150 
Diploma ,2005,44. Public administration and social service professions,5,"$38,500", 130 
Diploma ,2006,44. Public administration and social service professions,5,"$39,400", 150 
Diploma ,2007,44. Public administration and social service professions,5,"$38,700", 140 
Diploma ,2008,44. Public administration and social service professions,5,"$38,700", 130 
Diploma ,2009,44. Public administration and social service professions,5,"$34,000", 110 
Diploma ,2010,44. Public administration and social service professions,5,"$43,000", 120 
Diploma ,2005,47. Mechanic and repair technologies/technicians,5,"$66,300", 40 
Diploma ,2006,47. Mechanic and repair technologies/technicians,5,"$87,800", 120 
Diploma ,2007,47. Mechanic and repair technologies/technicians,5,"$101,100", 130 
Diploma ,2008,47. Mechanic and repair technologies/technicians,5,"$98,400", 150 
Diploma ,2009,47. Mechanic and repair technologies/technicians,5,"$88,600", 130 
Diploma ,2010,47. Mechanic and repair technologies/technicians,5,"$81,400", 150 
Diploma ,2005,48. Precision production,5,"$136,000", 60 
Diploma ,2006,48. Precision production,5,n/a, n/a 
Diploma ,2007,48. Precision production,5,n/a, n/a 
Diploma ,2008,48. Precision production,5,n/a, n/a 
Diploma ,2009,48. Precision production,5,"$141,000", 40 
Diploma ,2010,48. Precision production,5,"$127,000", 40 
Diploma ,2005,50. Visual and performing arts,5,"$32,000", 110 
Diploma ,2006,50. Visual and performing arts,5,"$36,000", 140 
Diploma ,2007,50. Visual and performing arts,5,"$41,800", 130 
Diploma ,2008,50. Visual and performing arts,5,"$38,500", 140 
Diploma ,2009,50. Visual and performing arts,5,"$39,400", 120 
Diploma ,2010,50. Visual and performing arts,5,"$41,700", 150 
Diploma ,2005,51. Health professions and related programs,5,"$57,700", 650 
Diploma ,2006,51. Health professions and related programs,5,"$58,300", 580 
Diploma ,2007,51. Health professions and related programs,5,"$53,300", 840 
Diploma ,2008,51. Health professions and related programs,5,"$55,100", 900 
Diploma ,2009,51. Health professions and related programs,5,"$53,300"," 1,030 "
Diploma ,2010,51. Health professions and related programs,5,"$49,100"," 1,060 "
Diploma ,2005,"52. Business, management, marketing and related support services",5,"$48,600", 890 
Diploma ,2006,"52. Business, management, marketing and related support services",5,"$50,000"," 1,010 "
Diploma ,2007,"52. Business, management, marketing and related support services",5,"$52,000", 940 
Diploma ,2008,"52. Business, management, marketing and related support services",5,"$49,300", 930 
Diploma ,2009,"52. Business, management, marketing and related support services",5,"$48,600", 890 
Diploma ,2010,"52. Business, management, marketing and related support services",5,"$45,900", 840 
Diploma ,2005,54. History,5,n/a, n/a 
Diploma ,2006,54. History,5,n/a, n/a 
Diploma ,2007,54. History,5,n/a, n/a 
Diploma ,2008,54. History,5,n/a, n/a 
Diploma ,2009,54. History,5,"$48,200", 30 
Diploma ,2010,54. History,5,n/a, n/a 
Bachelor's degree,2005,00. Total,5,"$68,900"," 5,810 "
Bachelor's degree,2006,00. Total,5,"$68,000"," 6,500 "
Bachelor's degree,2007,00. Total,5,"$71,000"," 6,420 "
Bachelor's degree,2008,00. Total,5,"$70,800"," 6,500 "
Bachelor's degree,2009,00. Total,5,"$70,200"," 6,240 "
Bachelor's degree,2010,00. Total,5,"$69,300"," 6,140 "
Bachelor's degree,2005,"01. Agriculture, agriculture operations and related sciences",5,"$59,900", 40 
Bachelor's degree,2006,"01. Agriculture, agriculture operations and related sciences",5,"$54,700", 40 
Bachelor's degree,2007,"01. Agriculture, agriculture operations and related sciences",5,"$52,400", 30 
Bachelor's degree,2008,"01. Agriculture, agriculture operations and related sciences",5,"$52,400", 30 
Bachelor's degree,2009,"01. Agriculture, agriculture operations and related sciences",5,n/a, n/a 
Bachelor's degree,2010,"01. Agriculture, agriculture operations and related sciences",5,"$59,100", 20 
Bachelor's degree,2005,03. Natural resources and conservation,5,"$73,900", 80 
Bachelor's degree,2006,03. Natural resources and conservation,5,"$66,600", 90 
Bachelor's degree,2007,03. Natural resources and conservation,5,"$70,700", 100 
Bachelor's degree,2008,03. Natural resources and conservation,5,"$77,200", 80 
Bachelor's degree,2009,03. Natural resources and conservation,5,"$76,500", 90 
Bachelor's degree,2010,03. Natural resources and conservation,5,"$74,900", 70 
Bachelor's degree,2005,"05. Area, ethnic, cultural, gender, and group studies",5,n/a, n/a 
Bachelor's degree,2006,"05. Area, ethnic, cultural, gender, and group studies",5,"$58,400", 30 
Bachelor's degree,2007,"05. Area, ethnic, cultural, gender, and group studies",5,n/a, n/a 
Bachelor's degree,2008,"05. Area, ethnic, cultural, gender, and group studies",5,"$48,800", 20 
Bachelor's degree,2009,"05. Area, ethnic, cultural, gender, and group studies",5,"$59,500", 20 
Bachelor's degree,2010,"05. Area, ethnic, cultural, gender, and group studies",5,"$42,800", 30 
Bachelor's degree,2005,"09. Communication, journalism and related programs",5,"$61,100", 60 
Bachelor's degree,2006,"09. Communication, journalism and related programs",5,"$59,500", 80 
Bachelor's degree,2007,"09. Communication, journalism and related programs",5,"$61,000", 70 
Bachelor's degree,2008,"09. Communication, journalism and related programs",5,"$69,400", 70 
Bachelor's degree,2009,"09. Communication, journalism and related programs",5,"$64,300", 100 
Bachelor's degree,2010,"09. Communication, journalism and related programs",5,"$57,800", 90 
Bachelor's degree,2005,11. Computer and information sciences and support services,5,"$73,000", 240 
Bachelor's degree,2006,11. Computer and information sciences and support services,5,"$73,400", 230 
Bachelor's degree,2007,11. Computer and information sciences and support services,5,"$74,000", 180 
Bachelor's degree,2008,11. Computer and information sciences and support services,5,"$77,200", 170 
Bachelor's degree,2009,11. Computer and information sciences and support services,5,"$75,800", 140 
Bachelor's degree,2010,11. Computer and information sciences and support services,5,"$74,600", 120 
Bachelor's degree,2005,13. Education,5,"$69,900"," 1,100 "
Bachelor's degree,2006,13. Education,5,"$66,400"," 1,360 "
Bachelor's degree,2007,13. Education,5,"$68,800"," 1,390 "
Bachelor's degree,2008,13. Education,5,"$67,200"," 1,420 "
Bachelor's degree,2009,13. Education,5,"$65,000"," 1,350 "
Bachelor's degree,2010,13. Education,5,"$66,300"," 1,230 "
Bachelor's degree,2005,14. Engineering,5,"$93,700", 640 
Bachelor's degree,2006,14. Engineering,5,"$97,700", 620 
Bachelor's degree,2007,14. Engineering,5,"$103,600", 680 
Bachelor's degree,2008,14. Engineering,5,"$104,100", 770 
Bachelor's degree,2009,14. Engineering,5,"$99,600", 710 
Bachelor's degree,2010,14. Engineering,5,"$95,000", 710 
Bachelor's degree,2005,"16. Aboriginal and foreign languages, literatures and linguistics",5,n/a, n/a 
Bachelor's degree,2006,"16. Aboriginal and foreign languages, literatures and linguistics",5,"$38,500", 20 
Bachelor's degree,2007,"16. Aboriginal and foreign languages, literatures and linguistics",5,"$45,400", 20 
Bachelor's degree,2008,"16. Aboriginal and foreign languages, literatures and linguistics",5,"$40,700", 20 
Bachelor's degree,2009,"16. Aboriginal and foreign languages, literatures and linguistics",5,"$49,000", 30 
Bachelor's degree,2010,"16. Aboriginal and foreign languages, literatures and linguistics",5,n/a, n/a 
Bachelor's degree,2005,19. Family and consumer sciences/human sciences,5,"$40,300", 40 
Bachelor's degree,2006,19. Family and consumer sciences/human sciences,5,"$49,900", 60 
Bachelor's degree,2007,19. Family and consumer sciences/human sciences,5,"$54,500", 50 
Bachelor's degree,2008,19. Family and consumer sciences/human sciences,5,"$46,500", 40 
Bachelor's degree,2009,19. Family and consumer sciences/human sciences,5,"$43,400", 50 
Bachelor's degree,2010,19. Family and consumer sciences/human sciences,5,"$43,100", 50 
